epoch,train_loss,train_accuracy_pct,validation_loss,validation_accuracy_pct,train_epoch_s
1,1.156194521109263,58.125,0.7684944629669189,69.75,10.225903776999985
2,0.7162092625300089,72.23333333333333,0.6645981254577636,73.85,10.15404928800001
3,0.6471088275909423,75.24166666666666,0.620827621459961,76.0,10.156441502999996
4,0.6096357266902923,76.4,0.6000248832702637,77.1,10.149573852999993
5,0.5675733942985535,78.05,0.5757485103607177,78.0,10.140452979999964
