phase,iteration,latency_ms
inference,1,89.999557
inference,2,90.052693
inference,3,89.987569
inference,4,90.092472
inference,5,89.981682
inference,6,90.034961
inference,7,89.951054
inference,8,90.160444
inference,9,90.203777
inference,10,90.210447
inference,11,90.101917
inference,12,90.048430
inference,13,90.014934
inference,14,90.120129
inference,15,90.096285
inference,16,90.042149
inference,17,90.131583
inference,18,89.972410
inference,19,90.090348
inference,20,90.059057
inference,21,90.277370
inference,22,90.136164
inference,23,90.065967
inference,24,89.969760
inference,25,90.115062
inference,26,90.019059
inference,27,90.069950
inference,28,90.024848
inference,29,90.188583
inference,30,90.157719
inference,31,90.082078
inference,32,90.184137
inference,33,90.146585
inference,34,90.089174
inference,35,89.959827
inference,36,90.055309
inference,37,90.097213
inference,38,90.092360
inference,39,90.057827
inference,40,90.165297
inference,41,90.087286
inference,42,90.090547
inference,43,90.374575
inference,44,90.351475
inference,45,90.059759
inference,46,90.073467
inference,47,90.052738
inference,48,90.100773
inference,49,90.137916
inference,50,89.948013
inference,51,90.212998
inference,52,90.154330
inference,53,90.111094
inference,54,90.121930
inference,55,89.989089
inference,56,90.146809
inference,57,89.956967
inference,58,90.060669
inference,59,90.059057
inference,60,90.007781
inference,61,90.073560
inference,62,90.055475
inference,63,90.027059
inference,64,90.084892
inference,65,90.088931
inference,66,90.208375
inference,67,90.075352
inference,68,90.046713
inference,69,90.190222
inference,70,90.177551
inference,71,90.054253
inference,72,90.144131
inference,73,90.100594
inference,74,90.069381
inference,75,90.402589
inference,76,90.124971
inference,77,90.224852
inference,78,90.077643
inference,79,90.210385
inference,80,90.042484
inference,81,90.086646
inference,82,90.112690
inference,83,90.097573
inference,84,90.203922
inference,85,90.166763
inference,86,90.127530
inference,87,90.184991
inference,88,90.066569
inference,89,90.303060
inference,90,90.118917
inference,91,90.030949
inference,92,90.094799
inference,93,90.121325
inference,94,90.068490
inference,95,90.305008
inference,96,90.056648
inference,97,90.066485
inference,98,90.150413
inference,99,90.107977
inference,100,90.224802
end_to_end,1,109.240133
end_to_end,2,108.970199
end_to_end,3,108.986851
end_to_end,4,109.184218
end_to_end,5,109.086975
end_to_end,6,109.165529
end_to_end,7,109.032130
end_to_end,8,109.136356
end_to_end,9,109.105591
end_to_end,10,109.229470
end_to_end,11,109.063377
end_to_end,12,109.075102
end_to_end,13,109.099347
end_to_end,14,109.127957
end_to_end,15,109.309679
end_to_end,16,109.133736
end_to_end,17,109.169298
end_to_end,18,109.425129
end_to_end,19,109.158981
end_to_end,20,109.108139
end_to_end,21,109.167466
end_to_end,22,109.200467
end_to_end,23,109.101254
end_to_end,24,109.238261
end_to_end,25,109.236335
end_to_end,26,109.218739
end_to_end,27,109.280825
end_to_end,28,109.255394
end_to_end,29,109.171842
end_to_end,30,109.134742
end_to_end,31,109.200485
end_to_end,32,109.300470
end_to_end,33,109.141460
end_to_end,34,109.098694
end_to_end,35,109.174744
end_to_end,36,109.220326
end_to_end,37,109.331123
end_to_end,38,109.289301
end_to_end,39,109.089099
end_to_end,40,109.052325
end_to_end,41,109.240566
end_to_end,42,109.143809
end_to_end,43,109.119472
end_to_end,44,109.185149
end_to_end,45,109.298871
end_to_end,46,109.166665
end_to_end,47,109.238009
end_to_end,48,109.036107
end_to_end,49,109.090653
end_to_end,50,109.138430
end_to_end,51,109.038045
end_to_end,52,109.201198
end_to_end,53,109.051065
end_to_end,54,109.181659
end_to_end,55,109.172490
end_to_end,56,109.249891
end_to_end,57,109.165471
end_to_end,58,109.116872
end_to_end,59,109.247414
end_to_end,60,109.030137
end_to_end,61,109.181806
end_to_end,62,109.190105
end_to_end,63,109.059013
end_to_end,64,109.099407
end_to_end,65,109.269244
end_to_end,66,109.222627
end_to_end,67,109.032656
end_to_end,68,109.140491
end_to_end,69,109.186978
end_to_end,70,109.128267
end_to_end,71,109.067333
end_to_end,72,109.085316
end_to_end,73,109.285194
end_to_end,74,109.129489
end_to_end,75,109.026679
end_to_end,76,109.316217
end_to_end,77,109.030361
end_to_end,78,109.222410
end_to_end,79,109.422860
end_to_end,80,109.195629
end_to_end,81,109.093210
end_to_end,82,109.116323
end_to_end,83,109.149142
end_to_end,84,109.351684
end_to_end,85,109.648312
end_to_end,86,109.493242
end_to_end,87,109.502659
end_to_end,88,109.586945
end_to_end,89,109.475303
end_to_end,90,109.480989
end_to_end,91,109.694253
end_to_end,92,109.552756
end_to_end,93,109.744703
end_to_end,94,109.574684
end_to_end,95,109.511072
end_to_end,96,109.578963
end_to_end,97,109.495159
end_to_end,98,109.568611
end_to_end,99,109.557128
end_to_end,100,109.527662
