model_name,parameter_count,test_accuracy_pct,mean_train_epoch_s,inference_median_ms,speedup_vs_baseline,accuracy_change_pp
baseline,44426,79.72,13.859619931199996,2.6602734999999997,1.0,0.0
conv_small,27180,78.05,10.16528428019999,2.3970385,1.1098167593052843,-1.6700000000000017
fc_small,20984,78.84,13.556668906200002,2.4440160000000004,1.0884844861899428,-0.8799999999999955
