phase,iteration,latency_ms
inference,1,21.746762
inference,2,21.761428
inference,3,21.771020
inference,4,21.683874
inference,5,21.715854
inference,6,21.725632
inference,7,21.653615
inference,8,21.666651
inference,9,21.740521
inference,10,21.608170
inference,11,21.676188
inference,12,21.738554
inference,13,21.788198
inference,14,21.595127
inference,15,21.823162
inference,16,21.611589
inference,17,21.572238
inference,18,21.739736
inference,19,21.708311
inference,20,21.735570
inference,21,21.646460
inference,22,21.602849
inference,23,21.658385
inference,24,21.767088
inference,25,21.631441
inference,26,21.718515
inference,27,21.771550
inference,28,21.759625
inference,29,21.632367
inference,30,21.647496
inference,31,21.759050
inference,32,21.735069
inference,33,21.652552
inference,34,21.728088
inference,35,21.684514
inference,36,21.683440
inference,37,21.713051
inference,38,21.757921
inference,39,21.686811
inference,40,21.526146
inference,41,21.843124
inference,42,21.574479
inference,43,21.608738
inference,44,21.630496
inference,45,21.727458
inference,46,21.657793
inference,47,21.762143
inference,48,21.665608
inference,49,21.657700
inference,50,21.639497
inference,51,21.704125
inference,52,21.785680
inference,53,21.714015
inference,54,21.692404
inference,55,21.703773
inference,56,21.600589
inference,57,21.654552
inference,58,21.489255
inference,59,21.724785
inference,60,21.801618
inference,61,21.681008
inference,62,21.711674
inference,63,21.658230
inference,64,21.744433
inference,65,21.650971
inference,66,21.723433
inference,67,21.709600
inference,68,21.706360
inference,69,21.666971
inference,70,25.969606
inference,71,21.930728
inference,72,21.586842
inference,73,21.769803
inference,74,21.674971
inference,75,21.700600
inference,76,21.631564
inference,77,21.742303
inference,78,21.709601
inference,79,21.672637
inference,80,21.664749
inference,81,21.843414
inference,82,21.696082
inference,83,21.741563
inference,84,21.728026
inference,85,21.738952
inference,86,21.563121
inference,87,21.743655
inference,88,21.765988
inference,89,21.586861
inference,90,21.755655
inference,91,21.638490
inference,92,21.624564
inference,93,21.676767
inference,94,21.671231
inference,95,21.819914
inference,96,21.662453
inference,97,21.764248
inference,98,21.579602
inference,99,21.710360
inference,100,21.653878
end_to_end,1,40.748868
end_to_end,2,40.736479
end_to_end,3,40.789960
end_to_end,4,40.702609
end_to_end,5,40.704220
end_to_end,6,40.791163
end_to_end,7,40.746238
end_to_end,8,40.620109
end_to_end,9,40.869496
end_to_end,10,40.815126
end_to_end,11,40.853385
end_to_end,12,40.800923
end_to_end,13,40.796700
end_to_end,14,40.882384
end_to_end,15,40.816311
end_to_end,16,40.890032
end_to_end,17,40.876598
end_to_end,18,40.735875
end_to_end,19,40.941502
end_to_end,20,40.845948
end_to_end,21,40.745782
end_to_end,22,40.770726
end_to_end,23,40.738467
end_to_end,24,40.824781
end_to_end,25,40.765856
end_to_end,26,40.888743
end_to_end,27,40.844706
end_to_end,28,40.722726
end_to_end,29,40.766726
end_to_end,30,40.806503
end_to_end,31,40.666727
end_to_end,32,40.730207
end_to_end,33,40.730504
end_to_end,34,40.805966
end_to_end,35,40.712301
end_to_end,36,40.986002
end_to_end,37,40.918224
end_to_end,38,40.816595
end_to_end,39,40.945224
end_to_end,40,40.866040
end_to_end,41,40.812668
end_to_end,42,40.804232
end_to_end,43,40.856862
end_to_end,44,40.852473
end_to_end,45,40.848325
end_to_end,46,40.741104
end_to_end,47,40.831011
end_to_end,48,40.793011
end_to_end,49,40.737085
end_to_end,50,40.838474
end_to_end,51,40.699530
end_to_end,52,40.748196
end_to_end,53,40.831603
end_to_end,54,40.855954
end_to_end,55,40.828529
end_to_end,56,40.810270
end_to_end,57,40.745641
end_to_end,58,40.829900
end_to_end,59,40.756807
end_to_end,60,40.816362
end_to_end,61,40.825936
end_to_end,62,40.752141
end_to_end,63,40.821418
end_to_end,64,40.827751
end_to_end,65,40.875787
end_to_end,66,40.785132
end_to_end,67,40.823388
end_to_end,68,40.738908
end_to_end,69,40.810148
end_to_end,70,40.933294
end_to_end,71,40.697168
end_to_end,72,40.682002
end_to_end,73,40.792703
end_to_end,74,40.897165
end_to_end,75,40.897758
end_to_end,76,40.739334
end_to_end,77,40.816722
end_to_end,78,40.862350
end_to_end,79,40.813777
end_to_end,80,40.956460
end_to_end,81,40.804240
end_to_end,82,40.824184
end_to_end,83,40.855296
end_to_end,84,40.813573
end_to_end,85,40.752926
end_to_end,86,40.756000
end_to_end,87,40.875721
end_to_end,88,40.854907
end_to_end,89,40.962349
end_to_end,90,40.724423
end_to_end,91,40.573214
end_to_end,92,41.067671
end_to_end,93,40.827674
end_to_end,94,40.894673
end_to_end,95,40.728194
end_to_end,96,40.821656
end_to_end,97,40.796156
end_to_end,98,40.694601
end_to_end,99,40.831952
end_to_end,100,40.765563
